id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
147339,Lovely apartment - central - quiet,712073,Gerhard,Tempelhof - Schöneberg,Schöneberg-Süd,52.48033,13.3609,Entire home/apt,120,4,325,2025-06-12,1.93,1,280,32,07/Z/RA/005709-18
151249,"Quiet & sunny, private home with 2 cats & Terrasse",728298,Ju,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49681,13.41758,Entire home/apt,,2,34,2025-06-01,0.30,1,2,9,02/Z/AZ/017580-23
159454,"Bright, Charming and Modern Altbau",499725,Prasad,Charlottenburg-Wilm.,Wiesbadener Straße,52.47844,13.30973,Entire home/apt,245,184,77,2022-03-31,0.49,1,364,0,04/Z/ZE/003034-16
162111,Quiet & cozy apartment,775103,Verena,Neukölln,Rixdorf,52.47705,13.44574,Private room,,12,74,2023-10-01,0.44,1,0,0,08/Z/AZ/007151-19
163287,"Very nice apartment, Bergmann area",779623,Stefano,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49295,13.39657,Entire home/apt,,92,73,2025-04-27,0.43,2,0,2,
163411,Ample parkside apartment Kreuzberg,779213,Jutta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49919,13.43648,Entire home/apt,181,5,49,2025-01-14,0.30,2,196,6,02/Z/RA/008798-18
168615,STAYINTOWN - Apartment in Berlin,803717,Dirk,Pankow,Blankenburg/Heinersdorf/Märchenland,52.58045,13.44398,Entire home/apt,49,3,37,2025-05-25,0.23,1,251,10,03/Z/AZ/004644-19
173153,Beautiful flat 95m² in Berlin Mitte,826546,Wolfgang,Mitte,Alexanderplatz,52.52889,13.40726,Entire home/apt,80,92,33,2017-10-30,0.20,1,170,0,
174391,BERLIN The most central!,833209,Julija,Mitte,Brunnenstr. Süd,52.52959,13.39763,Private room,,92,0,,,1,0,0,
174547,Berlin City Apartment 1with WiFi,833995,Ilona,Mitte,Alexanderplatz,52.51107,13.41645,Entire home/apt,,365,31,2016-10-02,0.19,4,0,0,
174560,"2 apartment in Berlin Center, WiFi",833995,Ilona,Mitte,Alexanderplatz,52.51112,13.41596,Entire home/apt,,365,53,2016-10-01,0.33,4,0,0,
174576,Berlin City Suite 3 mit W-Lan,833995,Ilona,Mitte,Alexanderplatz,52.51101,13.41584,Entire home/apt,,365,40,2016-10-02,0.25,4,0,0,
174579,Berlin City Studio 4 mit W-Lan,833995,Ilona,Mitte,Alexanderplatz,52.50898,13.41535,Entire home/apt,,365,79,2016-09-23,0.48,4,0,0,
176342,aptC Downtown Monument near Checkpoint Charlie,843326,Nino,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50254,13.39134,Entire home/apt,372,3,138,2025-06-09,1.06,3,256,26,02/Z/NA/002627-16
179102,The Special Place,857327,Alke,Pankow,Pankow Zentrum,52.57051,13.39872,Entire home/apt,176,2,195,2025-06-01,1.19,1,144,14,
180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),864399,Samuel,Charlottenburg-Wilm.,Neue Kantstraße,52.499,13.30171,Entire home/apt,86,92,30,2024-12-20,0.19,1,362,1,
186851,"CasaKaiser, 2 room apartment",898345,Susanne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49281,13.34951,Entire home/apt,45,93,58,2023-10-31,0.37,1,139,0,
188922,Stay in Prenzlauerberg Berlin !,910884,Kristian,Pankow,Prenzlauer Berg Südwest,52.53243,13.41645,Entire home/apt,,92,13,2014-08-28,0.08,1,0,0,
189288,Townhouse Altenescher Weg,907038,Katarina-Susanne,Pankow,Prenzlauer Berg Ost,52.53822,13.45771,Entire home/apt,120,92,103,2024-05-26,0.64,1,364,0,11/3/38/710130-07
190448,Modernes Studioapartment Berlin,920085,Ursula,Neukölln,Buckow Nord,52.43973,13.46044,Entire home/apt,67,3,78,2025-04-21,0.49,2,204,9,
191023,2-Room-Apartment in Berlin-Mitte,923408,Anne,Mitte,Alexanderplatz,52.51398,13.40711,Private room,,93,40,2018-08-16,0.30,1,0,0,
192050,Perfect for 5 + WLAN near (URL HIDDEN),929861,Mandy,Pankow,Pankow Süd,52.57243,13.42076,Entire home/apt,,200,30,2020-09-30,0.18,2,89,0,
194374,Cottage in the city with garden,943996,Monika,Lichtenberg,Karlshorst,52.4766,13.50838,Entire home/apt,89,5,66,2024-12-14,0.40,7,333,2,11/Z/ZE/001087-16
194465,Beautiful Loft-Studio with garden,944530,Christian,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52023,13.44703,Entire home/apt,,3,273,2025-06-10,1.64,1,44,25,02/Z/AZ/019005-24
198584,"Oriental Style Room, Kudamm / Zoo",969532,Wendy,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49713,13.32525,Private room,53,14,12,2020-02-16,0.09,2,296,0,04/Z/AZ/008076-18
205296,4* apartment in quiet south Berlin,1009105,Gisela,Neukölln,Rudow,52.41363,13.50172,Entire home/apt,100,5,3,2021-08-30,0.04,1,348,0,08/Z/NA/004045-16
206021,"Nice sunny room ,Central area...you",467895,Ursula,Charlottenburg-Wilm.,Mierendorffplatz,52.52349,13.2979,Private room,35,92,8,2019-09-22,0.09,1,90,0,
207740,Schicke Garten-Maisonette in Kreuzberg,1022663,Vanessa,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50035,13.43736,Entire home/apt,,7,12,2019-07-20,0.13,1,0,0,02/Z/RA/008970-18
208495,CENTRAL VINTAGE-MODERN FLAT,965569,Coco,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51399,13.46324,Entire home/apt,,92,0,,,1,0,0,
212470,furnished room in beautiful old app,1095682,Philipp,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49757,13.38215,Private room,,92,4,2019-04-21,0.05,1,0,0,
214518,Chimaysaberlin Front Room Double Bed,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5189,13.3009,Private room,41,3,95,2025-06-08,0.61,1,219,15,
220445,Apt. Near Charlottenburg Palace,1142834,Detlef,Charlottenburg-Wilm.,Mierendorffplatz,52.52545,13.29847,Entire home/apt,84,30,42,2025-04-12,0.28,1,90,4,04/Z/ZA/005063-16
221015,clean calm cosy central Berlin Wedding apartment,1146238,Arzu & Tom,Mitte,Wedding Zentrum,52.54223,13.35284,Entire home/apt,138,6,656,2025-06-16,3.93,2,14,21,01/Z/AZ/013215-21
222784,Quiet-warm-sunlit-balcony-kitchen-in Moabit-center,1156924,Camilla,Mitte,Moabit West,52.52875,13.34062,Entire home/apt,49,92,211,2024-09-26,1.28,2,210,2,
229099,Nice room near airport Berlin BER,1196119,Hannes,Treptow - Köpenick,Altglienicke,52.40484,13.53339,Private room,43,1,448,2024-09-26,2.75,1,1,6,09/Z/AZ/001991-19
229348,Excl. Studio A Mitte/Hansaviertel,1195177,Annika,Mitte,Moabit Ost,52.52067184448242,13.341280937194824,Entire home/apt,98,5,173,2025-06-03,1.04,2,320,20,01/Z/NA/004723-16
229363,Excl. Studio B Mitte/Hansaviertel,1195177,Annika,Mitte,Moabit Ost,52.52147674560547,13.342495918273926,Entire home/apt,,5,126,2025-06-03,0.82,2,355,16,01/Z/NA/004722-16
229776,Cosy room in Mitte / Rosenthaler Platz,956350,Arne,Mitte,Alexanderplatz,52.52861,13.40527,Private room,59,3,349,2025-06-16,2.09,1,19,46,01/Z/AZ/011800-20
230611,4 bedroom holiday house Berlin,1205340,Christine,Tempelhof - Schöneberg,Lichtenrade,52.39095,13.39185,Entire home/apt,96,92,7,2021-11-30,0.05,1,231,0,
231220,"1 Room Apartment, Charlottenburg",1209193,Michael,Charlottenburg-Wilm.,Westend,52.51167,13.2852,Entire home/apt,28,100,26,2025-04-19,0.17,1,70,1,
233083,2-bed-loft-dwelling designers flat,1219893,Katharina,Charlottenburg-Wilm.,Neue Kantstraße,52.50587,13.29551,Entire home/apt,114,92,40,2023-01-21,0.24,1,181,0,
237670,Apartment Burde 2,920085,Ursula,Neukölln,Buckow Nord,52.44127,13.46116,Entire home/apt,54,4,75,2025-06-05,0.64,2,232,15,
238396,"Within the city, calm and leafy",1250154,Henrik,Pankow,Prenzlauer Berg Südwest,52.53218,13.41571,Entire home/apt,119,3,704,2025-06-01,4.25,3,124,48,
242794,Elegant renovated apartment 72 m2,1274606,Mario,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51367,13.45527,Entire home/apt,146,4,100,2025-05-11,0.62,1,297,5,02/Z/ZA/005795-17
242908,Holiday Apartment in Berlin Wannsee with balcony,1275359,Henning,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41643,13.16445,Entire home/apt,89,5,3,2024-11-11,0.08,3,256,1,
242927,Holiday Rental in Berlin Wannsee,1275359,Henning,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41618,13.16461,Entire home/apt,85,5,2,2021-07-24,0.02,3,266,0,
242978,Exclusive one-bedroom apartment,1275576,Thomas,Mitte,Moabit West,52.52826,13.33044,Entire home/apt,93,2,305,2025-06-14,2.01,6,158,57,01/Z/NA/004607-16
243057,"Dach-Apartement ""Blueberry Hill""  in Berlin-Mitte",1275795,Arne & Ute,Mitte,Moabit West,52.53094,13.33453,Entire home/apt,217,4,58,2025-05-25,0.47,1,263,2,01/Z/AZ/013210-21
243063,Holiday apartment in Berlin Mitte,1275846,Anna,Mitte,Alexanderplatz,52.52779,13.39108,Entire home/apt,143,2,441,2025-06-03,2.79,2,13,44,01/Z/NA/004920-16
243081,"Living with style, apartment 2",1275846,Anna,Mitte,Brunnenstr. Süd,52.52983,13.39275,Entire home/apt,166,1,378,2025-06-02,2.37,2,39,29,01/Z/NA/004921-16
243238,Blue Jewel in Green Borough,1276585,Katharina,Treptow - Köpenick,Johannisthal,52.44612,13.49829,Entire home/apt,77,2,258,2025-06-12,2.05,1,303,45,09/Z/RA/001624-18
245744,Apartment in central Berlin,1289259,Martina Ellen,Mitte,Regierungsviertel,52.52024,13.3907,Entire home/apt,266,2,193,2025-06-09,1.19,1,289,14,01/Z/AF/001215-14
245827,2-bedroom apartment Mitte,1289393,Hille,Mitte,Regierungsviertel,52.50974,13.39971,Entire home/apt,140,3,119,2019-12-25,0.77,1,359,0,01/Z/NA/006511-17
249419,Living in the artist's studio in P'Berg,1306624,Au,Pankow,Helmholtzplatz,52.54339,13.42615,Entire home/apt,104,4,187,2025-05-31,1.14,1,120,3,
250007,Exotic holiday apartment in Berlin,1310272,Jörg,Tempelhof - Schöneberg,Schöneberg-Nord,52.49512,13.35251,Entire home/apt,72,2,363,2025-06-14,2.31,1,203,51,07/Z/ZE/004430-17
250253,Apartment: Luise in Berlin,1311309,Ute,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,127,3,102,2025-06-01,0.76,4,92,19,04/Z/AF/000663-14
250687,Cherusker,1310866,Ashraf,Tempelhof - Schöneberg,Schöneberg-Süd,52.48471,13.35982,Entire home/apt,77,3,136,2025-05-27,0.86,2,25,18,07/Z/ZA/001795-16
250704,Holiday Apartment with Garden,1314462,Andreas Otto Rüdiger,Tempelhof - Schöneberg,Marienfelde,52.42191,13.37495,Entire home/apt,71,5,74,2025-05-30,0.54,1,275,16,07/Z/ZA/000980-15
250707,Apartment: Friederike in Berlin,1311309,Ute,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,93,3,49,2025-03-13,0.34,4,92,6,04/Z/AF/000662-14
250729,Apartment: Grazer Gärten in Berlin,1311309,Ute,Tempelhof - Schöneberg,Friedenau,52.47013,13.34851,Entire home/apt,112,3,51,2025-05-25,0.50,4,118,9,07/Z/ZA/002442-16
250753,Apartment: Großer Kurfürst,1311309,Ute,Mitte,Tiergarten Süd,52.49953,13.36546,Entire home/apt,150,3,95,2025-06-01,1.04,4,62,17,01/Z/NA/003813-15
250871,"Berlin, big 1-room-apartment!",386940,Elisabeth,Tempelhof - Schöneberg,Schöneberg-Süd,52.48538,13.34681,Entire home/apt,,188,45,2025-01-02,0.34,1,0,4,07/Z/NA/001616-16
251398,Modern Room in a nice Environment,1318500,Renate,Spandau,Heerstraße Nord,52.51432,13.17765,Private room,44,1,77,2024-04-27,0.49,1,48,0,05/Z/AZ/007195-19
251406,2 Room I 56 m² I Comfort I Balcony,1023063,Raja Jooseppi,Mitte,Brunnenstr. Süd,52.53703,13.39735,Entire home/apt,127,3,47,2024-02-25,0.30,9,0,0,01/Z/NA/003421-15
251423,2-room I 50 m² I Comfort I Balcony,1023063,Raja Jooseppi,Mitte,Brunnenstr. Nord,52.53867,13.39712,Entire home/apt,118,3,47,2025-05-26,0.30,9,115,9,01/Z/NA/003420-15
251486,I 2 Room I 41 m²  I Balcony,1023063,Raja Jooseppi,Mitte,Brunnenstr. Süd,52.53667,13.39505,Entire home/apt,118,3,94,2025-06-01,0.59,9,94,17,01/Z/ZA/006181-16
251493,2-room I 41 m²  I Terrace > Mitte,1023063,Raja Jooseppi,Mitte,Brunnenstr. Nord,52.53881,13.39654,Entire home/apt,114,3,54,2025-05-16,0.34,9,120,10,01/Z/ZA/006180-16
252967,Pension am Traveplatz Zimmer 1,1328326,Wolfram,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51182,13.47093,Private room,,92,40,2018-10-14,0.25,2,0,0,
252993,Pension am Traveplatz Zimmer 2,1328326,Wolfram,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51182,13.47093,Private room,,92,174,2020-01-01,1.10,2,0,0,
254788,Cosy Flat in Kreuzberg 36!,1171000,Bernardo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49738,13.41322,Entire home/apt,60,95,107,2025-01-29,0.65,2,316,3,
255557,Cosy studio FridayBerlin for you,1343263,Agnieszka,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50786,13.46703,Entire home/apt,81,2,387,2025-06-19,2.45,1,220,57,
255722,Renovated apt in an old building,1344455,Wolfram,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49707,13.3849,Entire home/apt,68,3,250,2025-05-31,1.53,1,144,23,02/Z/ZA/001717-15
255842,2-room-Apartment Alvar Aalto,1345036,H.Christian,Mitte,Moabit Ost,52.51625,13.34267,Entire home/apt,63,93,35,2025-02-01,0.22,1,291,1,
257373,Sunny Boutique Studio in the city center,1303212,David,Pankow,Prenzlauer Berg Südwest,52.53949,13.41615,Entire home/apt,148,1,350,2025-06-18,2.15,1,169,57,03/Z/NA/001583-16
264459,"Central, cosy and one-of-a-kind",1250154,Henrik,Pankow,Prenzlauer Berg Südwest,52.53237,13.41548,Entire home/apt,130,3,778,2025-06-06,4.83,3,143,51,
265354,Nice apartment in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,183,1,207,2025-06-02,1.54,15,348,47,
265389,Beautiful single room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,71,1,27,2025-02-01,0.24,15,250,5,
265394,Stylish double room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,118,1,288,2025-05-21,2.29,15,357,83,
265402,Nice room for 3 persons,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,18,1,203,2025-05-27,1.63,15,336,27,
265408,Elegant 4-bed room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,20,1,73,2025-04-13,0.54,15,362,24,
266086,berlin holiday apartment,1395425,Hansjörg,Treptow - Köpenick,Baumschulenweg,52.44987,13.48777,Entire home/apt,105,2,49,2025-06-01,0.37,1,272,20,09/Z/RA/002274-20
267764,Berlin Mitte luxury,1382226,Patrick,Mitte,Brunnenstr. Süd,52.53646,13.39858,Entire home/apt,157,3,105,2024-11-01,0.65,1,14,3,01/Z/RA/018736-25
267951,Modernes Apartment in Berlin P´berg,1404760,Frank,Pankow,Helmholtzplatz,52.54424,13.42139,Entire home/apt,99,2,276,2025-05-21,2.01,1,5,37,03/Z/NA/001547-16
268974,Familie Heuckes Ferienwohnung,1409188,Peter,Neukölln,Rudow,52.41975,13.48541,Entire home/apt,90,3,53,2025-06-08,0.36,1,209,7,08/Z/NA/004785-17
269455,rent a flat or room in kreuzberg,1411715,L. Anabel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49667,13.40044,Entire home/apt,,92,2,2018-07-26,0.02,1,0,0,
273011,2BR Urban Retreat in prime Berlin West location,1428703,Susanne,Charlottenburg-Wilm.,Halensee,52.49614,13.29501,Entire home/apt,144,3,116,2025-06-01,0.74,1,192,10,04/Z/RA/015010-24
278415,NEW Berlin Bellevue *Victory Column,1453075,Jesus Daniel,Mitte,Moabit Ost,52.51952,13.3513,Entire home/apt,119,92,59,2018-01-07,0.37,1,362,0,
292864,Lounge Room in the Center of Berlin,286494,Project A,Pankow,Prenzlauer Berg Südwest,52.53091,13.41711,Entire home/apt,54,1,848,2025-05-22,5.31,3,343,41,
301773,Nice Apartment at Prenzlauer Berg,1554470,Hendrik,Pankow,Prenzlauer Berg Süd,52.53373,13.42435,Entire home/apt,,92,54,2016-10-30,0.35,1,88,0,
303097,Beautiful city apartment at park,1560726,Ann-Katrin,Pankow,Prenzlauer Berg Süd,52.52987,13.4268,Private room,86,5,66,2025-05-15,0.42,1,290,8,
306312,LOVINGLY RESTORED 100qm APARTMENT,1575292,Michel,Pankow,Prenzlauer Berg Südwest,52.53961,13.41951,Entire home/apt,180,4,366,2025-06-09,2.27,1,218,44,03/Z/ZA/001005-15
311703,Elegant 4 Room Apartment with 2 Bathrooms,1602903,Kathrin,Tempelhof - Schöneberg,Schöneberg-Nord,52.496707916259766,13.356289863586426,Entire home/apt,311,2,338,2025-05-23,2.12,1,254,38,07/Z/NA/004419-17
320279,STUDIO NEAR KASTANIENALLE,1641541,Stamatis,Mitte,Brunnenstr. Süd,52.53164,13.40554,Entire home/apt,102,6,100,2025-06-14,0.68,1,5,11,01/Z/RA/016637-24
320305,"Berlin Friedrichshain 1,5km to Alex",1641505,Sterni,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5181,13.43261,Private room,,92,91,2018-07-22,0.68,1,0,0,
321295,Beautiful 1-room apartment,1354122,Heike & Heinrich,Tempelhof - Schöneberg,Friedenau,52.46353,13.34404,Entire home/apt,50,2,410,2025-06-07,2.59,2,203,32,07/Z/ZA/000462-14
321308,Schönes Apartment in Berlin,1354122,Heike & Heinrich,Tempelhof - Schöneberg,Friedenau,52.46411,13.34383,Entire home/apt,79,2,167,2025-06-09,1.05,2,199,18,07/Z/ZA/000466-14
321378,Designer Top-Floor Flat / 2 Roof Terraces in Mitte,3062473,Robin,Mitte,Brunnenstr. Süd,52.53392,13.40503,Entire home/apt,206,1,284,2025-06-01,1.75,3,267,33,01/Z/NA/004886-16
322463,Great value studio in Prenzlauer Berg. StayBearlin,163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Nord,52.54094,13.43602,Entire home/apt,118,3,496,2025-05-22,3.05,10,338,37,
322520,Sunny Garden apt in Prenzlauer Berg by StayBearlin,163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Nord,52.5429,13.43628,Entire home/apt,115,3,499,2025-06-02,3.07,10,339,26,
